// Data Set from Increament by 1
0, 0
1, 0.0349048
2, 0.069799
3, 0.104672
4, 0.139513
5, 0.174311
6, 0.209057
7, 0.243739
8, 0.278346
9, 0.312869
10, 0.347296
11, 0.381618
12, 0.415823
13, 0.449902
14, 0.483844
15, 0.517638
16, 0.551275
17, 0.584743
18, 0.618034
19, 0.651136
20, 0.68404
21, 0.716736
22, 0.749213
23, 0.781462
24, 0.813473
25, 0.845237
26, 0.876742
27, 0.907981
28, 0.938943
29, 0.969619
30, 1
31, 1.03008
32, 1.05984
33, 1.08928
34, 1.11839
35, 1.14715
36, 1.17557
37, 1.20363
38, 1.23132
39, 1.25864
40, 1.28558
41, 1.31212
42, 1.33826
43, 1.364
44, 1.38932
45, 1.41421
46, 1.43868
47, 1.46271
48, 1.48629
49, 1.50942
50, 1.53209
51, 1.55429
52, 1.57602
53, 1.59727
54, 1.61803
55, 1.6383
56, 1.65808
57, 1.67734
58, 1.6961
59, 1.71433
60, 1.73205
61, 1.74924
62, 1.7659
63, 1.78201
64, 1.79759
65, 1.81262
66, 1.82709
67, 1.84101
68, 1.85437
69, 1.86716
70, 1.87939
71, 1.89104
72, 1.90211
73, 1.91261
74, 1.92252
75, 1.93185
76, 1.94059
77, 1.94874
78, 1.9563
79, 1.96325
80, 1.96962
81, 1.97538
82, 1.98054
83, 1.98509
84, 1.98904
85, 1.99239
86, 1.99513
87, 1.99726
88, 1.99878
89, 1.9997
90, 2
91, 1.9997
92, 1.99878
93, 1.99726
94, 1.99513
95, 1.99239
96, 1.98904
97, 1.98509
98, 1.98054
99, 1.97538
100, 1.96962
101, 1.96325
102, 1.9563
103, 1.94874
104, 1.94059
105, 1.93185
106, 1.92252
107, 1.91261
108, 1.90211
109, 1.89104
110, 1.87939
111, 1.86716
112, 1.85437
113, 1.84101
114, 1.82709
115, 1.81262
116, 1.79759
117, 1.78201
118, 1.7659
119, 1.74924
120, 1.73205
121, 1.71433
122, 1.6961
123, 1.67734
124, 1.65808
125, 1.6383
